question_id,question_ar,reference_answer_ar,source_law,article_number,topic_category,difficulty,notes
Q001,ما هو عقد العمل ؟,هو اتفاق شفهي أو كتابي صريح أو ضمني يتعهد العامل بمقتضاه أن يعمل لدى صاحب العمل وتحت إشرافه وإدارته مقابل أجر، ويكون لمدة محدودة أو غير محدودة أو لعمل معين أو غير معين، المادة (2) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,42,Employment Contracts,Easy,
Q002,ما هي الفئات المستثناة من تطبيق قانون العمل عليها؟,"1- الموظفون العامون
2- موظفو البلديات
المادة (3/أ) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,89,Employment Contracts,Easy,
Q003,ما الفروق بين عقد العمل المحدد المدة وبين عقد العمل غير المحدد المدة ؟,"1- إن التعويض عن إنهاء عقد العمل المحدد المدة إنهاءً تعسفياً من قبل صاحب العمل يتمثل في حق العامل في استيفاء الأجور التي تستحق حتى انتهاء المدة المتبقية من العقد، المادة (26/أ) من قانون العمل.
أما التعويض عن إنهاء عقد العمل غير المحدد المدة إنهاءً تعسفياً من قبل صاحب العمل فيعادل أجر نصف شهر عن كل سنة من سنوات خدمته وبحد أدنى لا يقل عن أجر شهرين، ويحسب التعويض على أساس آخر أجر تقاضاه العامل، المادة (25) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.
2- ينتهي عقد العمل المحدد المدة بانتهاء مدته، المادة (15/ب، ج) والمادة (21/ب) من قانون العمل.
أما عقد العمل غير المحدد المدة فينتهي بإشعار أحد الطرفين الطرف الآخر خطياً برغبته في إنهاء العقد قبل شهر واحد على الأقل، المادة (23/1/أ) من قانون العمل.
3- إذا اقتضت ظروف صاحب العمل الاقتصادية أو الفنية تقليص حجم العمل أو استبدال نظام إنتاج بآخر أو التوقف نهائياً عن العمل مما يترتب عليه إنهاء عقود العمل أو تعليقها كلها أو بعضها فيكون هذا الإنهاء أو التعليق مقصوراً على عقود العمل غير المحدودة المدة ولا يطبق على عقود العمل المحدودة المدة، المادة (31/أ) من قانون العمل.
4- إن استخدام العامل قيد التجربة للتحقق من كفاءته وإمكاناته للقيام بالعمل المطلوب مقصور على عقود العمل غير المحددة المدة، ولا يطبق على عقود العمل المحددة المدة، المادة (35) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,40,Employment Contracts,Easy,
Q004,ما هي الحالات التي يحق فيها لصاحب العمل فصل العامل دون إشعار ؟,"أ- إذا انتحل العامل شخصية أو هوية غيره أو قدم شهاداتٍ أو وثائقَ مزورة بقصد جلب المنفعة لنفسه أو الإضرار بغيره.
ب- إذا لم يقم العامل بالوفاء بالالتزامات المترتبة عليه بموجب عقد العمل.
ج- إذا ارتكب العامل خطأً نشأ عنه خسارة مادية جسيمة لصاحب العمل بشرط أن يبلغ صاحب العمل الجهة أو الجهات المختصة بالحادث خلال خمسة أيام من وقت علمه بوقوعه.
د- إذا خالف العامل النظام الداخلي للمؤسسة بما في ذلك شروط سلامة العمل والعمال رغم إنذاره كتابة مرتين.
هـ- إذا تغيب العامل دون سبب مشروع أكثر من عشرين يوماً متقطعة خلال السنة الواحدة أو أكثر من عشرة أيام متتالية على أن يسبق الفصل إنذار كتابي يرسل بالبريد المسجل على عنوانه وينشر في إحدى الصحف اليومية المحلية مرة واحدة.
و- إذا أفشى العامل الأسرار الخاصة بالعمل.
ز- إذا أدين العامل بحكم قضائي اكتسب الدرجة القطعية بجناية أو بجنحة ماسة بالشرف أو بالأخلاق العامة.
ح- إذا وجد العامل أثناء العمل في حالة سكر بين أو متأثراً بما تعاطاه من مادة مخدرة أو مؤثر عقلي أو ارتكب عملاً مخلاً بالآداب العامة في مكان العمل.
ط- إذا اعتدى على صاحب العمل أو المدير المسؤول أو أحد رؤسائه أو أي عامل أو على أي شخص آخر أثناء العمل أو بسببه وذلك بالضرب أو التحقير.
المادة (28) من قانون العمل.
ي- إنهاء عقد العمل خلال فترة التجربة، المادة (35) عمل.",Jordanian Labor Law No. 8 of 1996,35,Termination and Severance,Medium,
Q005,ما هي الحالات التي يحق فيها للعامل ترك العمل دون إشعار مع احتفاظه بحقوقه القانونية عن انتهاء الخدمة وما يترتب له من تعويضات عطل وضرر ؟,"أ- استخدامه في عمل يختلف في نوعه اختلافاً بيناً عن العمل الذي اتفق على استخدامه فيه بمقتضى عقد العمل.
ب- استخدامه بصورة تدعو إلى تغيير محل إقامته الدائم إلا إذا نص في العقد على جواز ذلك.
ج- نقله إلى عمل آخر في درجة أدنى من العمل الذي اتفق على استخدامه فيه.
د- تخفيض أجره.
هـ- إذا ثبت بتقرير طبي صادر عن مرجع طبي أن استمراره في العمل من شأنه تهديد صحته.
و- إذا اعتدى صاحب العمل أو من يمثله عليه أثناء العمل أو بسببه وذلك بالضرب أو التحقير أو بأي شكل من أشكال الاعتداء الجنسي المعاقب عليه بموجب التشريعات النافذة المفعول.
ز- إذا تخلف صاحب العمل عن تنفيذ أي حكم من أحكام القانون أو أي نظام صادر بمقتضاه شريطة أن يكون قد تلقى إشعاراً من جهة مختصة في الوزارة تطلب فيه التقيد بتلك الأحكام.
المادة (29/أ) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,29,Employment Contracts,Medium,
Q006,ما هو الالتزام الذي أوجبه المشرع على صاحب العمل في حال ترك العامل العمل دون إشعار بالاستناد إلى المادة (29/أ) من قانون العمل؟,"يجب على صاحب العمل أن يقوم بتبليغ وزارة العمل خلال أسبوعين من تاريخ ترك العمل وبالطرق التي تحددها وزارة العمل.
المادة (29/أ) من قانون العمل المعدلة بالقانون رقم 10 لسنة 2023.",Jordanian Labor Law No. 8 of 1996,88,Employment Contracts,Medium,
Q007,ما هي عقوبة الاعتداء من قبل صاحب العمل أو من يمثله بممارسة أي شكل من أشكال الاعتداء الجنسي أو التحرش الجنسي على العاملين المستخدمين لديه ؟,"إذا تبين للوزير وقوع اعتداء من قبل صاحب العمل أو من يمثله بممارسة أي شكل من أشكال الاعتداء الجنسي أو التحرش الجنسي على العاملين المستخدمين لديه يعاقب صاحب العمل أو مدير المؤسسة أو من يمثله بغرامة لا تقل عن ألفي دينار ولا تزيد على خمسة آلاف دينار، وتضاعف الغرامة في حال التكرار، وذلك مع مراعاة أحكام أي تشريعات أخرى نافذة المفعول.
المادة (29/ب) من قانون العمل المعدلة بالقانون رقم 10 لسنة 2023.",Jordanian Labor Law No. 8 of 1996,29,Employment Contracts,Hard,
Q008,ما المقصود بـ (التحرش الجنسي) ؟,"أي ممارسة أو سلوك جسدي أو شفهي ذي طبيعة جنسية أو التهديدات المرتبطة به ويمس كرامة العامل ويكون مهيناً له ويؤدي إلى إلحاق الضرر الجسدي أو النفسي أو الجنسي به.
المادة (29/ج) من قانون العمل المعدلة بالقانون رقم 10 لسنة 2023.",Jordanian Labor Law No. 8 of 1996,29,Employment Contracts,Hard,
Q009,ما هي شروط استحقاق العامل لمكافأة نهاية الخدمة ؟,"1- أن يكون من العمال المشمولين بأحكام قانون العمل.
2- أن لا يكون العامل خاضعاً لأحكام قانون الضمان الاجتماعي.
3- انتهاء خدمة العامل لأي سبب من الأسباب.
المادة (32) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,33,Wages and Compensation,Easy,
Q010,ما هي القيود المنظمة لعقد العمل تحت التجربة؟,"1- أن يرد في عقد العمل شرط يتضمن استخدام العامل تحت التجربة.
2- أن لا تزيد مدة التجربة في أية حالة من الحالات على ثلاثة أشهر.
3- أن لا يقل أجر العامل تحت التجربة عن الحد الأدنى للأجور.
4- يحق لصاحب العمل إنهاء استخدام العامل تحت التجربة دون إشعار ودون مكافأة نهاية الخدمة خلال مدة التجربة.
5- إذا استمر العامل في عمله بعد انتهاء مدة التجربة اعتبر العقد عقد عمل لمدة غير محدودة، وتحسب مدة التجربة ضمن مدة خدمة العامل لدى صاحب العمل.
المادة (35) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,35,Wages and Compensation,Easy,
Q011,ما هي الأسانيد القانونية للقول بأن فترة التجربة لا تطبق إلا في عقود العمل غير المحددة المدة ؟,"1- إن المادة (35/ب) من قانون العمل تجيز لصاحب العمل إنهاء استخدام العامل تحت التجربة دون إشعار خلال فترة التجربة، ومن المقرر في قانون العمل أن الإشعار بإنهاء عقد العمل لا يكون إلا في عقود العمل غير المحددة المدة عملاً بالمادة (23/أ) من قانون العمل.
2- إن المادة (35/ب) من قانون العمل تجيز لصاحب العمل إنهاء استخدام العامل تحت التجربة دون مكافأة خلال فترة التجربة، ومن المقرر في قانون العمل عند إصداره سنة 1996 أن المكافأة لم تكن تمنح إلا للعامل بعقد غير محدد المدة، المادة (32) من قانون العمل رقم 8 لسنة 1996 قبل تعديلها بموجب القانون المؤقت المعدل رقم 26 لسنة 2010 الذي أصبح رقمه 14 لسنة 2019 بعد إقراره كقانون دائمي.
3- إن المادة (35/ج) من قانون العمل قد نصت على أنه إذا استمر العامل في عمله بعد انتهاء فترة التجربة اعتبر عقد عمل ولمدة غير محدودة، وتحسب فترة التجربة ضمن مدة خدمة العامل لدى صاحب العمل.
4- إن عقد العمل المحدد المدة ينتهي بانتهاء مدته، المادتان (15/ب، ج) و(21/ب) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,35,Employment Contracts,Easy,
